source_file,source_function,formula_item,expected_paper_behavior,current_behavior,match_status,issue_type,recommended_fix,note
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,P_flow_below_Lrated,"P_flow = P_L0","loading <= L_rated_pu",match,no_issue,no_fix_required,Static source audit; confirms paper-mode P_flow is constant below L_Rated.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,P_flow_between_Lrated_Lmax,"P_L0 + (1 - P_L0)","loading <= L_max_pu",match,no_issue,no_fix_required,Static source audit; confirms paper-mode P_flow is constant below L_Rated.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,P_flow_above_Lmax,"P_flow = 1","else",match,no_issue,no_fix_required,Static source audit; confirms paper-mode P_flow is constant below L_Rated.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,L_Rated_definition,"L_Rated=L_rated_factor*L_max","L_rated_pu = L_rated_factor * L_max_pu",match,no_issue,no_fix_required,Static source audit; confirms paper-mode P_flow is constant below L_Rated.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,L_max_definition,"L_max from configured factor / loading pu base","L_max_pu = L_max_factor",match,no_issue,no_fix_required,Static source audit; confirms paper-mode P_flow is constant below L_Rated.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,line_loading_pu_mapping,"line_loading_pu interpreted as L/L_max in probability formula","loading = max(line_loading_pu, 0)",match,no_issue,no_fix_required,Static source audit; confirms paper-mode P_flow is constant below L_Rated.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,P_HF_L_piecewise,"P_L_D / linear to P_L_r / P_L_r","loading < L_max_pu",match,no_issue,no_fix_required,Static source audit; confirms paper-mode P_flow is constant below L_Rated.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,P_HF_D_mode,"impedance formula or disabled/proxy if missing","compute_distance_hidden_failure",match,no_issue,no_fix_required,Static source audit; confirms paper-mode P_flow is constant below L_Rated.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,P_mis_r_formula,"union probability","P_HF_D + P_HF_L - P_HF_D * P_HF_L",match,no_issue,no_fix_required,Static source audit; confirms paper-mode P_flow is constant below L_Rated.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,P1_formula,"paper P1","P_flow * (1 - P_in_r) * (1 - P_in_c)",match,no_issue,no_fix_required,Static source audit; confirms paper-mode P_flow is constant below L_Rated.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,P2_formula,"paper P2","P_mis_c + P_mis_r * (1 - P_in_c)",match,no_issue,no_fix_required,Static source audit; confirms paper-mode P_flow is constant below L_Rated.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,P_L_formula,"paper total probability","P1 + P2 + P3",match,no_issue,no_fix_required,Static source audit; confirms paper-mode P_flow is constant below L_Rated.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,clipping_to_0_1,"clip total probability to [0,1]","min(max(P1 + P2 + P3, 0), 1)",match,no_issue,no_fix_required,Static source audit; confirms paper-mode P_flow is constant below L_Rated.
C:\Users\24186\Documents\New project 13\src\outage\compute_paper_line_outage_probability.m,compute_paper_line_outage_probability,legacy_mode_separation,"legacy explicit mode only","legacy_loading_scaled",match,no_issue,no_fix_required,Static source audit; confirms paper-mode P_flow is constant below L_Rated.
