evidence_id,source_file,source_section_or_line,severity_item,formula_symbol,formula_text,formula_interpretation,supports_current_code_formula,supports_alternative_formula,evidence_strength,missing_information,note
SRC-1,src/risk/calc_basic_risk_metrics.m,calc_basic_risk_metrics,LLR,LLR,"sllr = shed.total_load_shed_mw / base_load_mw","SLLR = total_load_shed_mw/base_load_mw",1,0,code_implementation,Need paper screenshot for exact normalization.,Basic code formula.
SRC-2,src/risk/calc_basic_risk_metrics.m,calc_basic_risk_metrics,LFOR,LFOR,"line_excess=max(max_line_loading_pu-1,0); SLFOR=line_excess*max(num_overloaded_lines,1)","max overload excess times overloaded-line count",1,0,code_implementation,Need paper formula for line overload risk.,Not proven original formula.
SRC-3,src/risk/calc_basic_risk_metrics.m,calc_basic_risk_metrics,NVOR,NVOR,"SNVOR=max_voltage_deviation_pu*max(num_voltage_violations,1)","max voltage deviation times violation-bus count",1,0,code_implementation,Need paper formula for node voltage overlimit risk.,Not proven original formula.
SRC-4,src/risk/calc_cri.m,calc_cri,CRI,CRI,"CRI=weights(1)*SLLR+weights(2)*SLFOR+weights(3)*SNVOR","weighted sum using cfg.risk_weights",0,1,extracted_note,Need confirmation if paper weights differ.,Default 0.6/0.2/0.2.
SRC-5,config/base_config.m,base_config,CRI_weighting,CRI_weighting,"cfg.risk_weights=[0.6,0.2,0.2]","0.6,0.2,0.2",0,1,extracted_note,Need paper screenshot if challenged.,Current configured weights.
SRC-6,results/calibration/wind_speed_component_diagnostic_rerun,severity_component_trace,severity_clipping,severity_clipping,"No explicit clipping in basic severity traces except nonconverged lower bound in calc_basic_risk_metrics.","diagnostic current behavior",1,0,code_implementation,Need paper handling for clipping/zero/nonconvergence.,
SRC-7,results/calibration/wind_speed_component_diagnostic_rerun,severity_component_trace,severity_zero_handling,severity_zero_handling,"zero violations can still use max(count,1), so magnitude term controls zero.","code implementation",1,0,code_implementation,Need paper zero handling.,
CODE-LLR,src\risk\calc_basic_risk_metrics.m,line 29,LLR,SLLR,"sllr = shed.total_load_shed_mw / base_load_mw;","Current code computes total_load_shed_mw / base_load_mw.",1,0,code_implementation,Paper normalization and stage/chain level remain unconfirmed.,
CODE-LFOR,src\risk\calc_basic_risk_metrics.m,line 36,LFOR,SLFOR,"slfor = line_excess * max(violations.num_overloaded_lines, 1);","Current code multiplies max overload excess by max(overloaded_line_count,1).",1,0,code_implementation,Paper overload severity definition remains unconfirmed.,
CODE-NVOR,src\risk\calc_basic_risk_metrics.m,line 43,NVOR,SNVOR,"snvor = violations.max_voltage_deviation_pu * max(violations.num_voltage_violations, 1);","Current code multiplies max voltage deviation by max(violation_bus_count,1).",1,0,code_implementation,Paper voltage-overrun severity definition remains unconfirmed.,
CODE-LLR,src\risk\calc_basic_risk_metrics.m,line 48,LLR,SLLR,"sllr = max(sllr, 1.0);","Current code computes total_load_shed_mw / base_load_mw.",1,0,code_implementation,Paper normalization and stage/chain level remain unconfirmed.,
CODE-CRI,src\risk\calc_cri.m,line 1,CRI,CRI,"function cri = calc_cri(sllr, slfor, snvor, weights)","Current code uses normalized weights, default 0.6/0.2/0.2.",1,0,code_implementation,Need screenshot confirmation of CRI weights and normalization.,
CODE-CRI,src\risk\calc_cri.m,line 19,CRI,CRI,"cri = weights(1) * sllr + weights(2) * slfor + weights(3) * snvor;","Current code uses normalized weights, default 0.6/0.2/0.2.",1,0,code_implementation,Need screenshot confirmation of CRI weights and normalization.,
HIT-1,paper_inputs\filled\calibration_target_benchmark.csv,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-2,paper_inputs\filled\paper_result_benchmark.csv,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-3,paper_inputs\filled\paper_risk_metric_formulas.csv,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-4,paper_inputs\filled\paper_risk_severity_formula.csv,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-5,paper_inputs\validated\paper_input_validation_summary.csv,keyword:severity,severity_stage_or_chain_level,severity_stage_or_chain_level,"keyword hit: severity","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-6,docs\PL_event_probability_formula_audit.md,keyword:severity,severity_stage_or_chain_level,severity_stage_or_chain_level,"keyword hit: severity","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-7,docs\PL_formula_manual_confirmation_request.md,keyword:severity,severity_stage_or_chain_level,severity_stage_or_chain_level,"keyword hit: severity","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-8,docs\calibration_metric_scale_diagnosis.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-9,docs\calibration_target_mapping_diagnosis.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-10,docs\chain_transition_probability_tracking_notes.md,keyword:CRI,CRI,CRI,"keyword hit: CRI","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-11,docs\composite_state_probability_notes.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-12,docs\final_reproduction_result_summary.md,keyword:LFOR,LFOR,LFOR,"keyword hit: LFOR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-13,docs\formal_scenario_aligned_var_pilot_report.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-14,docs\full_event_formal_scenario_aligned_var_pilot_report.md,keyword:CRI,CRI,CRI,"keyword hit: CRI","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-15,docs\generator_state_probability_notes.md,keyword:CRI,CRI,CRI,"keyword hit: CRI","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-16,docs\ols_benchmark_smoke_report.md,keyword:CRI,CRI,CRI,"keyword hit: CRI","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-17,docs\original_paper_alignment_audit.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-18,docs\paper_benchmark_alignment_report.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-19,docs\paper_input_template_guide.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-20,docs\paper_metric_definition_alignment.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-21,docs\paper_ols_load_shedding_notes.md,keyword:CRI,CRI,CRI,"keyword hit: CRI","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-22,docs\paper_severity_formula_notes.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-23,docs\paper_severity_variable_mapping.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-24,docs\reproduction_notes.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-25,docs\reproduction_stage_audit_report.md,keyword:severity,severity_stage_or_chain_level,severity_stage_or_chain_level,"keyword hit: severity","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-26,docs\required_original_paper_inputs.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-27,docs\severity_formula_audit.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-28,docs\severity_formula_manual_confirmation_request.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-29,docs\stage_probability_aggregation_audit.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-30,docs\wind_speed_component_diagnostic_rerun_report.md,keyword:CRI,CRI,CRI,"keyword hit: CRI","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-31,docs\wind_speed_probability_severity_diagnosis.md,keyword:LLR,LLR,LLR,"keyword hit: LLR","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-32,docs\wind_speed_scan_trend_diagnosis.md,keyword:CRI,CRI,CRI,"keyword hit: CRI","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-33,docs\wind_speed_var_tail_attribution_diagnosis.md,keyword:CRI,CRI,CRI,"keyword hit: CRI","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
HIT-34,docs\wind_trip_probability_recording_notes.md,keyword:CRI,CRI,CRI,"keyword hit: CRI","Potential supporting context only; not automatically treated as a formula.",0,1,diagnostic_assumption,Manual reading is required to decide whether this is formula evidence.,Keyword evidence is intentionally weak.
MISS-1,paper_inputs/docs search,manual confirmation required,LLR,LLR,"missing_original_formula","No confirmed original-paper formula was found in current filled/validated inputs.",0,0,missing,Need user to provide paper screenshot or exact formula text.,Do not treat current code implementation as original paper formula.
MISS-2,paper_inputs/docs search,manual confirmation required,SLLR,SLLR,"missing_original_formula","No confirmed original-paper formula was found in current filled/validated inputs.",0,0,missing,Need user to provide paper screenshot or exact formula text.,Do not treat current code implementation as original paper formula.
MISS-3,paper_inputs/docs search,manual confirmation required,LFOR,LFOR,"missing_original_formula","No confirmed original-paper formula was found in current filled/validated inputs.",0,0,missing,Need user to provide paper screenshot or exact formula text.,Do not treat current code implementation as original paper formula.
MISS-4,paper_inputs/docs search,manual confirmation required,SLFOR,SLFOR,"missing_original_formula","No confirmed original-paper formula was found in current filled/validated inputs.",0,0,missing,Need user to provide paper screenshot or exact formula text.,Do not treat current code implementation as original paper formula.
MISS-5,paper_inputs/docs search,manual confirmation required,NVOR,NVOR,"missing_original_formula","No confirmed original-paper formula was found in current filled/validated inputs.",0,0,missing,Need user to provide paper screenshot or exact formula text.,Do not treat current code implementation as original paper formula.
MISS-6,paper_inputs/docs search,manual confirmation required,SNVOR,SNVOR,"missing_original_formula","No confirmed original-paper formula was found in current filled/validated inputs.",0,0,missing,Need user to provide paper screenshot or exact formula text.,Do not treat current code implementation as original paper formula.
MISS-7,paper_inputs/docs search,manual confirmation required,CRI,CRI,"missing_original_formula","No confirmed original-paper formula was found in current filled/validated inputs.",0,0,missing,Need user to provide paper screenshot or exact formula text.,Do not treat current code implementation as original paper formula.
MISS-8,paper_inputs/docs search,manual confirmation required,CRI_weighting,CRI_weighting,"missing_original_formula","No confirmed original-paper formula was found in current filled/validated inputs.",0,0,missing,Need user to provide paper screenshot or exact formula text.,Do not treat current code implementation as original paper formula.
MISS-9,paper_inputs/docs search,manual confirmation required,severity_stage_or_chain_level,severity_stage_or_chain_level,"missing_original_formula","No confirmed original-paper formula was found in current filled/validated inputs.",0,0,missing,Need user to provide paper screenshot or exact formula text.,Do not treat current code implementation as original paper formula.
MISS-10,paper_inputs/docs search,manual confirmation required,normalization_basis,normalization_basis,"missing_original_formula","No confirmed original-paper formula was found in current filled/validated inputs.",0,0,missing,Need user to provide paper screenshot or exact formula text.,Do not treat current code implementation as original paper formula.
MISS-11,paper_inputs/docs search,manual confirmation required,zero_violation_handling,zero_violation_handling,"missing_original_formula","No confirmed original-paper formula was found in current filled/validated inputs.",0,0,missing,Need user to provide paper screenshot or exact formula text.,Do not treat current code implementation as original paper formula.
MISS-12,paper_inputs/docs search,manual confirmation required,nonconvergence_handling,nonconvergence_handling,"missing_original_formula","No confirmed original-paper formula was found in current filled/validated inputs.",0,0,missing,Need user to provide paper screenshot or exact formula text.,Do not treat current code implementation as original paper formula.
